Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
Uruguay,1506.00,13.00,41.00,1.00,1242.00,223.00,3.00,433.00,12.00,154431.00,44435.00,3475415.00,0.03,95.00,132.00,155.00,96.00
Jordan,1498.00,16.00,11.00,,1261.00,226.00,3.00,147.00,1.00,720972.00,70566.00,10217009.00,0.01,67.00,177.00,184.00,172.00
Cyprus,1395.00,10.00,20.00,,878.00,497.00,5.00,1154.00,17.00,263943.00,218392.00,1208574.00,0.02,21.00,118.00,113.00,133.00
Aruba,1387.00,91.00,6.00,1.00,277.00,1104.00,2.00,12983.00,56.00,17669.00,165395.00,106829.00,0.02,30.00,76.00,15.00,138.00
Georgia,1370.00,9.00,17.00,,1108.00,245.00,,344.00,4.00,315142.00,79021.00,3988076.00,0.02,61.00,162.00,159.00,155.00
Latvia,1327.00,1.00,33.00,,1093.00,201.00,,705.00,18.00,232918.00,123686.00,1883144.00,0.03,41.00,114.00,133.00,107.00
Botswana,1308.00,,3.00,,136.00,1169.00,1.00,555.00,1.00,93420.00,39620.00,2357895.00,0.02,103.00,177.00,144.00,136.00
Burkina Faso,1297.00,12.00,55.00,,1034.00,208.00,,62.00,3.00,,,20976858.00,0.05,,169.00,197.00,58.00
Liberia,1284.00,2.00,82.00,,803.00,399.00,,253.00,16.00,,,5073177.00,0.09,,122.00,170.00,26.00
Togo,1212.00,22.00,27.00,,878.00,307.00,2.00,146.00,3.00,55741.00,6713.00,8304024.00,0.03,164.00,169.00,185.00,102.00
Jamaica,1192.00,46.00,14.00,,772.00,406.00,1.00,402.00,5.00,49215.00,16610.00,2962971.00,0.02,135.00,155.00,156.00,144.00
Niger,1169.00,2.00,69.00,,1082.00,18.00,,48.00,3.00,9052.00,372.00,24315155.00,0.06,193.00,169.00,202.00,43.00
Andorra,1024.00,,53.00,,875.00,96.00,1.00,13250.00,686.00,137457.00,1778642.00,77282.00,0.06,1.00,4.00,14.00,49.00
Vietnam,1007.00,13.00,25.00,,542.00,440.00,,10.00,0.30,817208.00,8385.00,97458937.00,0.04,157.00,187.00,211.00,71.00
Lesotho,996.00,50.00,30.00,,423.00,543.00,,464.00,14.00,12033.00,5611.00,2144591.00,0.07,169.00,128.00,153.00,39.00
Réunion,996.00,51.00,5.00,,657.00,334.00,3.00,1111.00,6.00,35419.00,39521.00,896196.00,0.01,104.00,148.00,115.00,176.00
Chad,972.00,1.00,76.00,,869.00,27.00,,59.00,5.00,,,16486068.00,0.08,,155.00,199.00,30.00
Sao Tome and Principe,888.00,3.00,15.00,,829.00,44.00,,4042.00,68.00,3432.00,15621.00,219700.00,0.02,137.00,66.00,59.00,145.00
Guyana,846.00,70.00,29.00,2.00,399.00,418.00,8.00,1075.00,37.00,6502.00,8261.00,787081.00,0.07,158.00,89.00,117.00,37.00
Trinidad and Tobago,767.00,81.00,12.00,,140.00,615.00,3.00,548.00,9.00,18036.00,12882.00,1400123.00,0.08,143.00,137.00,145.00,31.00
Diamond Princess,712.00,,13.00,,651.00,48.00,4.00,,,,,,0.02,,,,142.00
San Marino,704.00,,42.00,,657.00,5.00,,20742.00,1237.00,6511.00,191833.00,33941.00,0.06,24.00,1.00,4.00,42.00
Channel Islands,613.00,,48.00,,545.00,20.00,,3521.00,276.00,68985.00,396276.00,174083.00,0.08,12.00,23.00,69.00,29.00
Belize,605.00,52.00,5.00,1.00,38.00,562.00,3.00,1518.00,13.00,5592.00,14030.00,398588.00,0.12,140.00,130.00,102.00,17.00
Guadeloupe,510.00,,15.00,,289.00,206.00,2.00,1275.00,37.00,23585.00,58943.00,400134.00,0.05,81.00,89.00,111.00,60.00
Tanzania,509.00,,21.00,,183.00,305.00,7.00,8.00,0.40,,,59951725.00,0.10,,184.00,212.00,23.00
Taiwan,486.00,,7.00,,457.00,22.00,,20.00,0.30,85563.00,3592.00,23822843.00,0.02,176.00,187.00,207.00,156.00
Burundi,422.00,,1.00,,336.00,85.00,,35.00,0.08,19993.00,1675.00,11935821.00,0.00,186.00,190.00,205.00,190.00
Comoros,417.00,11.00,7.00,,396.00,14.00,,478.00,8.00,,,872036.00,0.02,,141.00,152.00,149.00
Myanmar,399.00,5.00,6.00,,333.00,60.00,,7.00,0.10,141044.00,2590.00,54460318.00,0.02,179.00,189.00,213.00,147.00
Faeroe Islands,383.00,1.00,,,274.00,109.00,3.00,7834.00,,80312.00,1642742.00,48889.00,,2.00,,31.00,
Papua New Guinea,361.00,14.00,4.00,1.00,198.00,159.00,,40.00,0.40,14439.00,1610.00,8969502.00,0.02,187.00,184.00,203.00,141.00
Sint Maarten,348.00,15.00,17.00,,133.00,198.00,3.00,8104.00,396.00,1983.00,46179.00,42942.00,0.11,92.00,15.00,29.00,18.00
Mauritius,346.00,,10.00,,334.00,2.00,,272.00,8.00,205285.00,161379.00,1272065.00,0.03,32.00,141.00,169.00,109.00
Isle of Man,336.00,,24.00,,312.00,0.00,,3948.00,282.00,9423.00,110734.00,85096.00,0.07,47.00,21.00,60.00,35.00
Martinique,336.00,,16.00,,98.00,222.00,2.00,895.00,43.00,12227.00,32586.00,375224.00,0.14,112.00,85.00,127.00,15.00
Turks and Caicos,327.00,12.00,2.00,,56.00,269.00,3.00,8430.00,52.00,1940.00,50015.00,38788.00,0.03,88.00,77.00,27.00,89.00
Eritrea,306.00,2.00,,,274.00,32.00,,86.00,,,,3553053.00,,,,193.00,
Mongolia,298.00,,,,281.00,17.00,1.00,91.00,,46332.00,14103.00,3285365.00,,139.00,,192.00,
Cambodia,273.00,,,,253.00,20.00,1.00,16.00,,83626.00,4993.00,16750228.00,,172.00,,210.00,
Gibraltar,229.00,6.00,,,200.00,29.00,,6797.00,,28366.00,841971.00,33690.00,,5.00,,35.00,
French Polynesia,211.00,,,,68.00,143.00,2.00,751.00,,9912.00,35257.00,281134.00,,106.00,,131.00,
Cayman Islands,205.00,,1.00,,202.00,2.00,,3114.00,15.00,33978.00,516171.00,65827.00,0.00,11.00,125.00,78.00,187.00
Bermuda,166.00,,9.00,,147.00,10.00,,2667.00,145.00,36203.00,581621.00,62245.00,0.06,9.00,39.00,85.00,48.00
Barbados,156.00,1.00,7.00,,123.00,26.00,,543.00,24.00,15028.00,52285.00,287425.00,0.05,85.00,104.00,146.00,55.00
Monaco,150.00,2.00,4.00,,115.00,31.00,1.00,3819.00,102.00,51953.00,1322632.00,39280.00,0.03,3.00,53.00,62.00,90.00
Bhutan,150.00,3.00,,,105.00,45.00,,194.00,,66835.00,86488.00,772767.00,,57.00,,182.00,
Brunei,143.00,,3.00,,139.00,1.00,,326.00,7.00,49399.00,112769.00,438054.00,0.02,46.00,146.00,161.00,139.00
Seychelles,132.00,,,,126.00,6.00,,1341.00,,,,98431.00,,,,107.00,
Saint Martin,121.00,,5.00,,49.00,67.00,1.00,3122.00,129.00,2449.00,63193.00,38754.00,0.09,76.00,44.00,77.00,27.00
Liechtenstein,99.00,1.00,1.00,,88.00,10.00,,2595.00,26.00,900.00,23595.00,38143.00,0.01,124.00,101.00,87.00,165.00
Antigua and Barbuda,94.00,,3.00,,89.00,2.00,1.00,959.00,31.00,1738.00,17727.00,98041.00,0.03,132.00,97.00,122.00,93.00
St. Vincent Grenadines,58.00,,,,56.00,2.00,,523.00,,3033.00,27327.00,110989.00,,117.00,,148.00,
Macao,46.00,,,,46.00,0.00,,71.00,,4071.00,6258.00,650532.00,,167.00,,195.00,
Curaçao,36.00,,1.00,,31.00,4.00,,219.00,6.00,1080.00,6578.00,164187.00,0.03,165.00,148.00,176.00,99.00
Fiji,28.00,,1.00,,20.00,7.00,,31.00,1.00,6693.00,7459.00,897343.00,0.05,160.00,177.00,206.00,63.00
Saint Lucia,26.00,,,,25.00,1.00,,142.00,,4946.00,26918.00,183744.00,,119.00,,186.00,
Timor-Leste,25.00,,,,25.00,0.00,,19.00,,4238.00,3206.00,1321774.00,,177.00,,208.00,
Grenada,24.00,,,,24.00,0.00,,213.00,,6252.00,55526.00,112596.00,,84.00,,178.00,
New Caledonia,23.00,,,,22.00,1.00,,80.00,,11838.00,41410.00,285874.00,,99.00,,194.00,
Laos,22.00,,,,19.00,3.00,,3.00,,35428.00,4860.00,7289790.00,,173.00,,214.00,
Dominica,18.00,,,,18.00,0.00,,250.00,,1646.00,22858.00,72011.00,,126.00,,171.00,
Saint Kitts and Nevis,17.00,,,,17.00,0.00,,319.00,,1385.00,26009.00,53251.00,,120.00,,162.00,
St. Barth,16.00,,,,9.00,7.00,,1619.00,,1699.00,171946.00,9881.00,,28.00,,98.00,
Greenland,14.00,,,,14.00,0.00,,247.00,,6446.00,113518.00,56784.00,,45.00,,172.00,
Montserrat,13.00,,1.00,,12.00,0.00,,2604.00,200.00,61.00,12220.00,4992.00,0.08,145.00,31.00,86.00,32.00
Caribbean Netherlands,13.00,,,,7.00,6.00,,495.00,,424.00,16149.00,26256.00,,136.00,,151.00,
Falkland Islands,13.00,,,,13.00,0.00,,3722.00,,2256.00,645863.00,3493.00,,6.00,,65.00,
Vatican City,12.00,,,,12.00,0.00,,14981.00,,,,801.00,,,,12.00,
British Virgin Islands,11.00,,1.00,,8.00,2.00,,364.00,33.00,1890.00,62461.00,30259.00,0.11,78.00,94.00,158.00,21.00
Western Sahara,10.00,,1.00,,8.00,1.00,,17.00,2.00,,,599245.00,0.11,,176.00,209.00,21.00
MS Zaandam,9.00,,2.00,,,7.00,,,,,,,1.00,,,,1.00
Saint Pierre Miquelon,5.00,,,,1.00,4.00,,864.00,,,,5790.00,,,,128.00,
Anguilla,3.00,,,,3.00,0.00,,200.00,,662.00,44072.00,15021.00,,97.00,,181.00,
